text	x	y	width	height	confidence
Anyhow AI	50	30	150	25	0.98
81 Wellesley Street East,	50	55	200	20	0.95
Toronto, ON M4Y 0C5	50	75	180	20	0.95
Earnings Statement	450	30	180	25	0.99
Employee Name	50	120	120	20	0.97
Social Sec. ID	200	120	100	20	0.97
Employee ID	350	120	100	20	0.97
Pay Record	550	120	100	20	0.97
Pay Date	700	120	80	20	0.97
Yuyao Bai	50	145	100	20	0.96
XXX-XX-4996	200	145	120	20	0.94
01/16/2026 - 01/31/2026	550	145	180	20	0.95
02/06/2026	700	145	100	20	0.97
Earnings	50	200	80	20	0.98
Rate	150	200	50	20	0.98
Hours	220	200	60	20	0.98
Current	300	200	70	20	0.98
Deductions	400	200	100	20	0.98
Current	550	200	70	20	0.98
Year to Date	650	200	100	20	0.98
Regular Income	50	230	120	20	0.97
4,166.67	300	230	80	20	0.96
Federal CPP Deductions	400	230	180	20	0.95
717.72	700	230	70	20	0.96
Federal Employment Insurance Deductions	400	255	250	20	0.94
203.76	700	255	70	20	0.96
Canada Income Tax	400	280	150	20	0.95
1,954.77	700	280	80	20	0.96
Ontario Provincial Tax (PIT)	400	305	200	20	0.95
940.89	700	305	70	20	0.96
YTD Gross	50	380	90	20	0.97
YTD Deductions	180	380	120	20	0.97
YTD Net Pay	350	380	100	20	0.97
Current Total	500	380	110	20	0.97
Current Deductions	630	380	140	20	0.97
Net Pay	780	380	70	20	0.97
$12,500.67	50	405	100	20	0.96
$3,817.14	180	405	90	20	0.96
$8,683.53	350	405	90	20	0.96
$4,166.67	500	405	90	20	0.96
$1,272.38	630	405	90	20	0.96
$2,894.29	780	405	90	20	0.97
